timestamp,t_ex,u_ex,t_amb,u_amb,delta_t,delta_u,label_str,classe
1770857755.742197,33.89,56.91,28.14,77.81,5.75,-20.90000000000001,IDLE,0
1770857698.3473592,33.59,57.44,28.05,77.84,5.540000000000003,-20.40000000000001,IDLE,0
1770857594.8096783,33.88,57.06,28.05,77.98,5.830000000000002,-20.92,IDLE,0
1770857909.923285,34.32,55.38,28.16,77.14,6.16,-21.76,IDLE,0
1770857597.623898,33.9,57.04,28.07,77.95,5.829999999999998,-20.910000000000004,IDLE,0
1770857662.6161463,33.76,57.12,28.16,77.68,5.599999999999998,-20.56000000000001,IDLE,0
1770857806.948059,33.99,56.48,28.14,77.56,5.850000000000001,-21.080000000000005,IDLE,0
1770857950.718573,34.41,55.2,28.18,77.32,6.229999999999997,-22.11999999999999,IDLE,0
1770857776.5622244,33.97,56.66,28.15,77.68,5.82,-21.02000000000001,IDLE,0
1770857953.2501345,34.41,55.16,28.18,77.23,6.229999999999997,-22.070000000000007,IDLE,0
1770857651.6432462,33.77,57.09,28.13,77.8,5.640000000000004,-20.709999999999997,IDLE,0
1770858038.5005422,34.44,54.81,28.18,77.15,6.259999999999998,-22.340000000000003,IDLE,0
1770857763.9022906,33.94,56.77,28.15,77.68,5.789999999999999,-20.910000000000004,IDLE,0
1770857717.1978133,33.67,57.39,28.02,77.97,5.650000000000002,-20.58,IDLE,0
1770857905.9834497,34.28,55.45,28.17,77.1,6.109999999999999,-21.64999999999999,IDLE,0
1770857863.219018,34.2,55.78,28.21,76.99,5.990000000000002,-21.209999999999997,IDLE,0
1770857685.4051702,33.66,57.35,28.11,77.77,5.549999999999997,-20.419999999999995,IDLE,0
1770857600.1561162,33.93,57.06,28.07,77.94,5.859999999999999,-20.879999999999995,IDLE,0
1770858025.8396647,34.54,54.8,28.2,77.25,6.34,-22.450000000000003,IDLE,0
1770857977.4463654,34.46,54.96,28.2,77.22,6.260000000000002,-22.26,IDLE,0
1770857928.491768,34.29,55.3,28.14,77.27,6.149999999999999,-21.97,IDLE,0
1770857754.3355997,33.9,56.94,28.15,77.86,5.75,-20.92,IDLE,0
1770858010.9281094,34.5,54.95,28.19,77.22,6.309999999999999,-22.27,IDLE,0
1770857836.2088957,34.04,56.06,28.11,77.27,5.93,-21.209999999999997,IDLE,0
1770857874.19012,34.29,55.53,28.19,76.97,6.099999999999998,-21.44,IDLE,0
1770857992.077229,34.47,54.98,28.2,77.2,6.27,-22.22000000000001,IDLE,0
1770857822.141369,33.97,56.22,28.13,77.26,5.84,-21.040000000000006,IDLE,0
1770857958.315038,34.45,55.06,28.2,77.27,6.250000000000004,-22.209999999999997,IDLE,0
1770857856.1853864,34.11,55.96,28.2,77.14,5.91,-21.18,IDLE,0
1770857900.3566737,34.26,55.37,28.17,77.1,6.089999999999996,-21.73,IDLE,0
1770857884.319623,34.27,55.49,28.16,77.04,6.110000000000003,-21.550000000000004,IDLE,0
1770857749.8340046,33.88,57.03,28.15,77.81,5.730000000000004,-20.78,IDLE,0
1770857742.2383184,33.8,57.18,28.12,77.97,5.679999999999996,-20.79,IDLE,0
1770857644.8905325,33.77,57.09,28.12,77.8,5.650000000000002,-20.709999999999997,IDLE,0
1770857716.9161105,33.68,57.4,28.02,77.98,5.66,-20.580000000000005,IDLE,0
1770857816.2334836,33.96,56.24,28.14,77.37,5.82,-21.130000000000003,IDLE,0
1770858021.618661,34.55,54.9,28.22,77.27,6.329999999999998,-22.37,IDLE,0
1770857785.2844973,33.94,56.51,28.17,77.65,5.769999999999996,-21.140000000000008,IDLE,0
1770857871.6590035,34.23,55.62,28.15,76.92,6.079999999999998,-21.300000000000004,IDLE,0
1770857949.5930753,34.4,55.22,28.19,77.29,6.209999999999997,-22.070000000000007,IDLE,0
1770857939.745545,34.34,55.31,28.15,77.36,6.190000000000005,-22.05,IDLE,0
1770857797.9452438,33.96,56.47,28.15,77.59,5.810000000000002,-21.120000000000005,IDLE,0
1770857689.0622334,33.64,57.35,28.05,77.79,5.59,-20.440000000000005,IDLE,0
1770857674.4317238,33.64,57.27,28.1,77.7,5.539999999999999,-20.43,IDLE,0
1770857837.897554,34.05,56.01,28.15,77.24,5.899999999999999,-21.23,IDLE,0
